portal_title,type,url,begin,nuts,ags,technology,api,last_check,Portal?
Niederrhein (Region),district,http://offenesdatenportal.de/,2015-04-16,,,,,,
Altenburg,city,http://www.altenburg.eu/sixcms/detail.php,,DEG0M001,16077001,,,,
Neubrandenburg,city,http://www.neubrandenburg.de/opendata/,,DE802,13071107,,,,
Freiburg im Breisgau,city,http://opendata.freiburg.de,,DE131,8311000,,,,
Wachtendonk,city,https://www.offenesdatenportal.de/organization/gemeinde-wachtendonk,,DEA1B060,5154060,CKAN,https://www.offenesdatenportal.de/api/3/action/organization_activity_list?id=gemeinde-wachtendonk,2019-03-12,
Rostock,city,http://www.opendata-hro.de/,,DE803,13003000,CKAN,,2019-07-18,
Kleve,city,https://www.offenesdatenportal.de/organization/stadt-kleve,,DEA1B036,5154036,CKAN,https://www.offenesdatenportal.de/api/3/action/organization_activity_list?id=stadt-kleve,2019-03-12,
Jena,city,https://opendata.jena.de/,2016-12-20,DEG03,16053000,CKAN,,,
Karlsruhe,city,https://transparenz.karlsruhe.de/,,DE122,8212000,CKAN,,,
München,city,http://www.opengov-muenchen.de,2014-12-19,DE212,9162000,CKAN,,,
Frankfurt am Main,city,http://offenedaten.frankfurt.de/,2014-10-15,DE712,6412000,CKAN,,,
Kreis Viersen,district,https://www.offenesdatenportal.de/organization/kreis-viersen,,DEA1E,,CKAN,https://www.offenesdatenportal.de/api/3/action/organization_activity_list?id=kreis-viersen,2019-03-12,
Kreis Kleve,district,https://www.offenesdatenportal.de/organization/kreis-kleve,,DEA1B,,CKAN,https://www.offenesdatenportal.de/api/3/action/organization_activity_list?id=kreis-kleve,2019-03-12,
Krefeld,city,https://www.offenesdatenportal.de/organization/krefeld,2016-01-13,DEA14,5114000,CKAN,https://www.offenesdatenportal.de/api/3/action/organization_activity_list?id=krefeld,2019-03-12,
Meerbusch,city,https://opendata.meerbusch.de/,2017-02-11,DEA1D022,5162022,CKAN,https://opendata.meerbusch.de/api/3/action/package_list,2019-03-24,
Moers,city,http://offenedaten.moers.de/,,DEA1F024,5170024,CKAN,https://www.offenesdatenportal.de/api/3/action/organization_activity_list?id=moers,2019-03-12,
Wesel,city,http://opendata.wesel.de/,,DEA1F048,5170048,CKAN,https://www.offenesdatenportal.de/api/3/action/organization_activity_list?id=stadt-wesel,2019-03-12,
Aachen,city,http://offenedaten.aachen.de/,,DEA2D002,5334002,CKAN,,,
Landkreis Lüneburg,district,https://open.lklg.net/,2016-08-18,DE935,,CKAN,,,
Leipzig,city,https://opendata.leipzig.de,,DED51,14713000,CKAN,,,
Hamburg,city+state,http://daten.hamburg.de/,,DE6,2000000,Website,,2019-07-18,
Braunschweig,city,http://www.braunschweig.de/leben/stadtplanung_bauen/geoinformationen/opengeodata.html,,DE911,3101000,Website,,2019-07-18,
Berlin,city+state,http://daten.berlin.de/,,DE3,11000000,Website,,,
Kiel,city,https://www.kiel.de/de/kiel_zukunft/statistik_kieler_zahlen/open_data/index.php,,,1002000,Website,,,
Wennigsen (Deister),city,http://data.wennigsen.net/,,DE929020,3241020,Website,,,
Ulm,city,http://daten.ulm.de/,,DE144,8421000,Website,,,
Dortmund,city,https://opendata.dortmund.de/,,,5913000,Website,https://opendata.dortmund.de/duva2dcat/dcat/catalog,,
Arnsberg,city,http://offenedaten.arnsberg.de,,DEA57004,5958004,Website,,,
Herne,city,https://www.herne.de/Stadt-und-Leben/Stadtfakten/Open-Data/,,DEA55,5916000,Website,,,
Halle (Saale),city,http://www.daten.halle.de,,DEE02,15002000,Website,,,
Ortenaukreis,district,http://www.ortenaukreis.de/Online-Dienste/Open-Data,,DE134,,Website,,,
Magdeburg,city,https://www.magdeburg.de/Start/B%C3%BCrger-Stadt/Verwaltung-Service/Offene-Verwaltungsdaten,,,15003000,Website,,,
Bochum,city,http://www.bochum.de/opendata,,DEA51,5911000,Website,,,
Bad Münstereifel,city,http://offenedaten.kdvz-frechen.de/group/bad-m%C3%BCnstereifel,2016-11-08,DEA28004,5366004,DKAN,,2019-07-18,checked
Elsdorf (Rheinland),city,http://offenedaten.kdvz-frechen.de/group/elsdorf,2016-11-08,DEA27016,5362016,DKAN,,2019-07-18,checked
Bedburg,city,http://offenedaten.kdvz-frechen.de/group/bedburg,2017-04-29,DEA27004,5362004,DKAN,,2019-07-18,checked
Heimbach (Eifel),city,http://offenedaten.kdvz-frechen.de/group/heimbach,2016-11-08,DEA26012,5358012,DKAN,,2019-07-18,checked
Köln,city,http://offenedaten-koeln.de/,,DEA23,5315000,DKAN,https://offenedaten-koeln.de/api/3/action/package_list,2019-03-12,checked
Niederzier,city,http://offenedaten.kdvz-frechen.de/group/niederzier,,DEA26048,5358048,DKAN,,2019-07-18,
Wesseling,city,http://offenedaten.kdvz-frechen.de/group/wesseling,2016-11-08,DEA27040,5362040,DKAN,,2019-07-18,
Gelsenkirchen,city,https://opendata.gelsenkirchen.de/,2017-05-23,DEA32,5513000,DKAN,,,
Düsseldorf,city,https://opendata.duesseldorf.de/,2017-12-06,DEA11,5111000,DKAN,https://opendata.duesseldorf.de/api/3/action/package_list,2019-03-12,
Linnich,city,http://offenedaten.kdvz-frechen.de/group/linnich,2016-11-08,DEA26036,5358036,DKAN,,,
Wuppertal,city,http://www.offenedaten-wuppertal.de/,2016-09-05,DEA1A,5124000,DKAN,https://www.offenedaten-wuppertal.de/api/3/action/package_list,2019-03-12,
Kerpen,city,http://offenedaten.kdvz-frechen.de/group/kerpen,2016-11-08,DEA27032,5362032,DKAN,,,
Kreuzau,city,http://offenedaten.kdvz-frechen.de/group/kreuzau,2016-11-08,DEA26028,5358028,DKAN,,,
Bonn,city,http://opendata.bonn.de/,,DEA22,5314000,DKAN,https://opendata.bonn.de/api/3/action/package_list,2019-03-12,
Duisburg,city,https://opendata-duisburg.de/,2019-03-19,,5112000,DKAN,https://opendata-duisburg.de/api/3/action/package_list,2019-03-24,
Mülheim an der Ruhr,city,http://open.muelheim-ruhr.de,,DEA16,5117000,DKAN,https://geo.muelheim-ruhr.de/api/3/action/package_list,2019-03-12,
Bielefeld,city,https://open-data.bielefeld.de/,,DEA41,5711000,DKAN,,,
Titz,city,http://offenedaten.kdvz-frechen.de/group/titz,2016-11-08,DEA26056,5358056,DKAN,,,
Jülich,city,http://offenedaten.kdvz-frechen.de/group/j%C3%BClich,2016-11-08,DEA26024,5358024,DKAN,,,
Siegburg,city,http://offenedaten.kdvz-frechen.de/group/siegburg,,DEA2C060,5382060,DKAN,,,
Brühl (Rheinland),city,http://offenedaten.kdvz-frechen.de/group/br%C3%BChl,2016-11-08,DEA27012,5362012,DKAN,,,
Vettweiß,city,http://offenedaten.kdvz-frechen.de/group/vettwei%C3%9F,2016-11-08,DEA26060,5358060,DKAN,,,
Langerwehe,city,http://offenedaten.kdvz-frechen.de/group/langerwehe,2016-11-08,DEA26032,5358032,DKAN,,,
Bergheim,city,http://offenedaten.kdvz-frechen.de/group/bergheim,2016-11-08,DEA27008,9185118,DKAN,,,
Merzenich,city,http://offenedaten.kdvz-frechen.de/group/merzenich,2016-11-08,DEA26040,5358040,DKAN,,,
Hürtgenwald,city,http://offenedaten.kdvz-frechen.de/group/h%C3%BCrtgenwald,2016-11-08,DEA26016,5358016,DKAN,,,
Nörvenich,city,http://offenedaten.kdvz-frechen.de/group/n%C3%B6rvenich,,DEA26052,5358052,DKAN,,,
Kall,city,http://offenedaten.kdvz-frechen.de/group/kall,2016-11-08,DEA28024,5366024,DKAN,,,
Kreis Euskirchen,district,http://offenedaten.kdvz-frechen.de/group/kreis-euskirchen,2016-11-08,DEA28,,DKAN,,,
Mönchengladbach,city,http://offenedaten.moenchengladbach.de/,2015-05-11,DEA15,5116000,TYPO3,,2019-03-24,
Münster (Westfalen),city,https://www.stadt-muenster.de/open-data.html,,DEA33,5515000,TYPO3,,2019-03-12,
Potsdam,city,https://opendata.potsdam.de/,2018-01-11,DE404,12054000,OpenDataSoft,,,
Mannheim,city,https://opendata.mannheim.de/,2015-11-24,DE126,8222000,OpenDataSoft,,,
Dormagen,city,https://opendata.dormagen.de,2017-12-07,DEA1D004,5162004,OpenDataSoft,https://opendata.dormagen.de/api/v1/console/datasets/1.0/search/,2019-03-24,
Mittenwalde,city,http://stadt-mittenwalde.opendata.arcgis.com/,,,12073404,ArcGIS,,,
Chemnitz,city,http://portal-chemnitz.opendata.arcgis.com/,2017-03-07,DED41,14511000,ArcGIS,,,
